location_name,sex_name,age_name,year,official_population,reconstructed_population,absolute_difference,relative_difference_pct,key_match_status,reconstruction_available,comparison_status
China,Female,0-4 years,1990,52461127.55254273,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,1991,52200344.06133984,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,1992,51183616.21082702,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,1993,49478593.32621365,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,1994,47221554.37669416,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,1995,44711044.29671888,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,1996,42354267.769897126,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,1997,40222452.49646425,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,1998,38279976.11310377,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,1999,36527056.85831928,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,2000,35014083.839477785,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,2001,33804428.30705339,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,2002,32932552.621482216,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,2003,32372714.849269062,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,2004,32114876.051067848,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,2005,32146531.870909102,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,2006,32433025.71269765,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,2007,32955617.97461657,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,2008,33644828.338959865,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,2009,34297408.930364646,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,2010,34533036.87799521,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,2011,34305659.96387167,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,2012,34184168.41189848,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,2013,34383277.2276166,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,2014,34837825.24922483,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,2015,36089868.844988,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,2016,38271314.67562626,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,2017,40184793.08609793,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,2018,41024920.41189677,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,2019,40825259.80430589,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,2020,39243979.28573937,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,2021,36189723.53312266,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,2022,32480397.21186644,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,0-4 years,2023,28964938.721970893,,,,both,False,unavailable_zero_burden_number_and_rate
China,Female,10-14 years,1990,49615252.54402213,49615252.54402215,-2.2351741790771484e-08,-4.50501421330859e-14,both,True,compared
China,Female,10-14 years,1991,48812228.04131706,48812228.04131703,2.9802322387695312e-08,6.105503391992098e-14,both,True,compared
China,Female,10-14 years,1992,48422613.18582109,48422613.18582109,0.0,0.0,both,True,compared
China,Female,10-14 years,1993,48632883.1117711,48632883.111784756,-1.3656914234161377e-05,-2.8081646327186097e-11,both,True,compared
China,Female,10-14 years,1994,49596146.64730512,49596146.64731873,-1.360476016998291e-05,-2.7431083037016837e-11,both,True,compared
China,Female,10-14 years,1995,51319000.32992108,51319000.32992609,-5.0067901611328125e-06,-9.756211401128266e-12,both,True,compared
China,Female,10-14 years,1996,53716658.63093126,53716658.630931236,2.2351741790771484e-08,4.1610447039051026e-14,both,True,compared
China,Female,10-14 years,1997,56356878.33658736,56356878.33658738,-1.4901161193847656e-08,-2.6440714307935145e-14,both,True,compared
China,Female,10-14 years,1998,58636256.34024044,58636256.34024545,-5.0067901611328125e-06,-8.538727527352033e-12,both,True,compared
China,Female,10-14 years,1999,60023933.99402695,60023933.99402696,-7.450580596923828e-09,-1.2412682910229182e-14,both,True,compared
China,Female,10-14 years,2000,60128276.96905329,60128276.96907148,-1.8186867237091064e-05,-3.024677930892889e-11,both,True,compared
China,Female,10-14 years,2001,58654990.40836264,58654990.408401385,-3.8743019104003906e-05,-6.605238332539252e-11,both,True,compared
China,Female,10-14 years,2002,56043156.56011753,56043156.56013432,-1.679360866546631e-05,-2.9965493909058805e-11,both,True,compared
China,Female,10-14 years,2003,52697546.0661912,52697546.06619944,-8.240342140197754e-06,-1.5637050973583103e-11,both,True,compared
China,Female,10-14 years,2004,49008994.46800115,49008994.468022875,-2.1725893020629883e-05,-4.433041986775531e-11,both,True,compared
China,Female,10-14 years,2005,45459039.46805554,45459039.468061134,-5.595386028289795e-06,-1.2308632328718079e-11,both,True,compared
China,Female,10-14 years,2006,42531581.68093956,42531581.68093954,2.2351741790771484e-08,5.2553281367357116e-14,both,True,compared
China,Female,10-14 years,2007,40129147.395937055,40129147.395949185,-1.2129545211791992e-05,-3.0226271921790366e-11,both,True,compared
China,Female,10-14 years,2008,38084366.32031177,38084366.32031908,-7.309019565582275e-06,-1.9191653352215842e-11,both,True,compared
China,Female,10-14 years,2009,36325267.86560389,36325267.86560203,1.8551945686340332e-06,5.107173814926503e-12,both,True,compared
China,Female,10-14 years,2010,34873986.385123186,34873986.38513478,-1.1593103408813477e-05,-3.3242839751061414e-11,both,True,compared
China,Female,10-14 years,2011,33798593.39609835,33798593.396098375,-2.2351741790771484e-08,-6.613216570530929e-14,both,True,compared
China,Female,10-14 years,2012,33131290.27916713,33131290.279173896,-6.765127182006836e-06,-2.0419147956518707e-11,both,True,compared
China,Female,10-14 years,2013,32850115.839517124,32850115.839518327,-1.2032687664031982e-06,-3.66290570262076e-12,both,True,compared
China,Female,10-14 years,2014,32957535.03611697,32957535.03611861,-1.642853021621704e-06,-4.984756960195479e-12,both,True,compared
China,Female,10-14 years,2015,33465306.83141481,33465306.831405934,8.877366781234741e-06,2.6527074220342457e-11,both,True,compared
China,Female,10-14 years,2016,34373235.65754344,34373235.65754347,-2.9802322387695312e-08,-8.670211522887281e-14,both,True,compared
China,Female,10-14 years,2017,35648291.9288734,35648291.92887442,-1.0207295417785645e-06,-2.863333659338171e-12,both,True,compared
China,Female,10-14 years,2018,37192852.832206696,37192852.832218714,-1.2017786502838135e-05,-3.23120857575934e-11,both,True,compared
China,Female,10-14 years,2019,38739002.13431386,38739002.134318665,-4.805624485015869e-06,-1.2405132347895945e-11,both,True,compared
China,Female,10-14 years,2020,39784409.17280064,39784409.17280066,-2.2351741790771484e-08,-5.6182163454252516e-14,both,True,compared
China,Female,10-14 years,2021,40233513.16264083,40233513.162660964,-2.0131468772888184e-05,-5.003656700698319e-11,both,True,compared
China,Female,10-14 years,2022,40764631.80850288,40764631.80850706,-4.179775714874268e-06,-1.025343669117215e-11,both,True,compared
China,Female,10-14 years,2023,41596846.72882047,41596846.72883876,-1.8283724784851074e-05,-4.395459325089455e-11,both,True,compared
China,Female,15-19 years,1990,61796263.46389763,61796263.463905096,-7.465481758117676e-06,-1.2080797995948623e-11,both,True,compared
China,Female,15-19 years,1991,59125902.55618452,59125902.556185916,-1.3932585716247559e-06,-2.3564267290479138e-12,both,True,compared
China,Female,15-19 years,1992,56107741.03579132,56107741.03579797,-6.645917892456055e-06,-1.1844921520216972e-11,both,True,compared
China,Female,15-19 years,1993,53152124.367117,53152124.36711938,-2.376735210418701e-06,-4.471571435231454e-12,both,True,compared
China,Female,15-19 years,1994,50737055.656792365,50737055.65679291,-5.438923835754395e-07,-1.0719825510856708e-12,both,True,compared
China,Female,15-19 years,1995,49044530.444281206,49044530.44428134,-1.341104507446289e-07,-2.73446293663653e-13,both,True,compared
China,Female,15-19 years,1996,47944575.83325842,47944575.833263375,-4.954636096954346e-06,-1.0334091001629825e-11,both,True,compared
China,Female,15-19 years,1997,47341073.7378678,47341073.73786806,-2.60770320892334e-07,-5.508331355901325e-13,both,True,compared
China,Female,15-19 years,1998,47460112.42585307,47460112.42585332,-2.4586915969848633e-07,-5.180543136778441e-13,both,True,compared
China,Female,15-19 years,1999,48512200.55639835,48512200.55639986,-1.5124678611755371e-06,-3.117706151913687e-12,both,True,compared
China,Female,15-19 years,2000,50578077.71018504,50578077.71018779,-2.7492642402648926e-06,-5.4356835307547995e-12,both,True,compared
China,Female,15-19 years,2001,53648147.67386405,53648147.673864186,-1.341104507446289e-07,-2.499815120550079e-13,both,True,compared
China,Female,15-19 years,2002,57115473.84062361,57115473.84062495,-1.341104507446289e-06,-2.3480580957597224e-12,both,True,compared
China,Female,15-19 years,2003,60235739.03710267,60235739.03710525,-2.5779008865356445e-06,-4.279686657364271e-12,both,True,compared
China,Female,15-19 years,2004,62357017.0636348,62357017.06363554,-7.450580596923828e-07,-1.1948263319460222e-12,both,True,compared
China,Female,15-19 years,2005,62996041.29626277,62996041.29626925,-6.4820051193237305e-06,-1.0289543574396434e-11,both,True,compared
China,Female,15-19 years,2006,61835224.16756448,61835224.16756496,-4.76837158203125e-07,-7.711416342746095e-13,both,True,compared
China,Female,15-19 years,2007,59316291.059122935,59316291.05912433,-1.3932585716247559e-06,-2.3488632663091478e-12,both,True,compared
China,Female,15-19 years,2008,55877808.87527084,55877808.8752759,-5.058944225311279e-06,-9.053583752010995e-12,both,True,compared
China,Female,15-19 years,2009,51957905.84768889,51957905.84768964,-7.525086402893066e-07,-1.4483044072161707e-12,both,True,compared
China,Female,15-19 years,2010,48088420.78582845,48088420.7858345,-6.0498714447021484e-06,-1.2580723895356182e-11,both,True,compared
China,Female,15-19 years,2011,44792437.21222485,44792437.21222988,-5.029141902923584e-06,-1.1227658542212612e-11,both,True,compared
China,Female,15-19 years,2012,42050174.39648879,42050174.39648932,-5.289912223815918e-07,-1.2580000677137805e-12,both,True,compared
China,Female,15-19 years,2013,39723738.87166687,39723738.871668324,-1.4528632164001465e-06,-3.657418102293507e-12,both,True,compared
China,Female,15-19 years,2014,37737124.48957519,37737124.48957983,-4.634261131286621e-06,-1.2280376933772012e-11,both,True,compared
China,Female,15-19 years,2015,36086983.05741903,36086983.05742227,-3.2410025596618652e-06,-8.981084826362495e-12,both,True,compared
China,Female,15-19 years,2016,34802584.958787285,34802584.95879157,-4.284083843231201e-06,-1.2309671388790089e-11,both,True,compared
China,Female,15-19 years,2017,33930977.1881182,33930977.1881183,-1.043081283569336e-07,-3.074126859908407e-13,both,True,compared
China,Female,15-19 years,2018,33463613.97965532,33463613.97965564,-3.166496753692627e-07,-9.462506815963582e-13,both,True,compared
China,Female,15-19 years,2019,33415818.95523676,33415818.95523803,-1.2703239917755127e-06,-3.80156474236713e-12,both,True,compared
China,Female,15-19 years,2020,33812915.869695,33812915.86969586,-8.568167686462402e-07,-2.5339925487294833e-12,both,True,compared
China,Female,15-19 years,2021,34669430.31894208,34669430.31894552,-3.4421682357788086e-06,-9.928539938823676e-12,both,True,compared
China,Female,15-19 years,2022,35927424.813267976,35927424.813268125,-1.4901161193847656e-07,-4.147572855916093e-13,both,True,compared
China,Female,15-19 years,2023,37469550.0653185,37469550.06531914,-6.407499313354492e-07,-1.7100550452793451e-12,both,True,compared
China,Female,20-24 years,1990,64663632.69488488,64663632.69488547,-5.885958671569824e-07,-9.102425005014332e-13,both,True,compared
China,Female,20-24 years,1991,63880680.52762535,63880680.52762581,-4.544854164123535e-07,-7.114598853025841e-13,both,True,compared
China,Female,20-24 years,1992,62701919.482300095,62701919.482301116,-1.0207295417785645e-06,-1.627907965507663e-12,both,True,compared
China,Female,20-24 years,1993,61437341.124604926,61437341.12460577,-8.419156074523926e-07,-1.370364654526391e-12,both,True,compared
China,Female,20-24 years,1994,59946444.18608745,59946444.18608753,-7.450580596923828e-08,-1.2428728172425915e-13,both,True,compared
China,Female,20-24 years,1995,58053509.869393125,58053509.86939453,-1.4081597328186035e-06,-2.425623766739746e-12,both,True,compared
China,Female,20-24 years,1996,55698481.760468975,55698481.76047118,-2.205371856689453e-06,-3.959482892502606e-12,both,True,compared
China,Female,20-24 years,1997,53041790.2261743,53041790.22617584,-1.5348196029663086e-06,-2.893604451172781e-12,both,True,compared
China,Female,20-24 years,1998,50439997.308288366,50439997.3082885,-1.341104507446289e-07,-2.658811615808546e-13,both,True,compared
China,Female,20-24 years,1999,48336616.62858994,48336616.628590085,-1.4156103134155273e-07,-2.9286499803923554e-13,both,True,compared
China,Female,20-24 years,2000,46914858.73918246,46914858.73918373,-1.2740492820739746e-06,-2.7156626201453554e-12,both,True,compared
China,Female,20-24 years,2001,46070421.8661352,46070421.866136335,-1.1324882507324219e-06,-2.4581677459412963e-12,both,True,compared
China,Female,20-24 years,2002,45749129.95248079,45749129.95248229,-1.4975666999816895e-06,-3.273432088298069e-12,both,True,compared
China,Female,20-24 years,2003,46194080.7323988,46194080.732400194,-1.3932585716247559e-06,-3.0160976244897466e-12,both,True,compared
China,Female,20-24 years,2004,47623767.30351996,47623767.30352123,-1.2740492820739746e-06,-2.675238340457386e-12,both,True,compared
China,Female,20-24 years,2005,50110163.70838622,50110163.708387315,-1.0952353477478027e-06,-2.185655098078454e-12,both,True,compared
China,Female,20-24 years,2006,53596369.39210381,53596369.392104745,-9.313225746154785e-07,-1.73765981759333e-12,both,True,compared
China,Female,20-24 years,2007,57439156.500631765,57439156.50063361,-1.8477439880371094e-06,-3.216871731075623e-12,both,True,compared
China,Female,20-24 years,2008,60847078.617345065,60847078.61734717,-2.1085143089294434e-06,-3.4652679419326968e-12,both,True,compared
China,Female,20-24 years,2009,63122668.68878199,63122668.688784175,-2.1830201148986816e-06,-3.458377410596778e-12,both,True,compared
China,Female,20-24 years,2010,63750070.81096262,63750070.810964815,-2.1979212760925293e-06,-3.4477158191870894e-12,both,True,compared
China,Female,20-24 years,2011,62406184.103576615,62406184.10357724,-6.258487701416016e-07,-1.0028633846653235e-12,both,True,compared
China,Female,20-24 years,2012,59549375.538554974,59549375.53855748,-2.5033950805664062e-06,-4.203898123071995e-12,both,True,compared
China,Female,20-24 years,2013,55695793.59057623,55695793.59057747,-1.2367963790893555e-06,-2.220627985267854e-12,both,True,compared
China,Female,20-24 years,2014,51381084.380895525,51381084.380895585,-5.960464477539063e-08,-1.1600503471965021e-13,both,True,compared
China,Female,20-24 years,2015,47230493.27191102,47230493.27191259,-1.5720725059509277e-06,-3.3285117241955056e-12,both,True,compared
China,Female,20-24 years,2016,43836190.79419833,43836190.79419901,-6.854534149169922e-07,-1.5636701148032032e-12,both,True,compared
China,Female,20-24 years,2017,41113514.33254403,41113514.332544215,-1.862645149230957e-07,-4.5304936332250047e-13,both,True,compared
China,Female,20-24 years,2018,38874362.758463785,38874362.75846408,-2.980232238769531e-07,-7.666317920853045e-13,both,True,compared
China,Female,20-24 years,2019,37000427.2752604,37000427.27526092,-5.21540641784668e-07,-1.4095530246305717e-12,both,True,compared
China,Female,20-24 years,2020,35451003.18540883,35451003.18540931,-4.76837158203125e-07,-1.3450597031324207e-12,both,True,compared
China,Female,20-24 years,2021,34224560.90659681,34224560.906596825,-1.4901161193847656e-08,-4.35393787359751e-14,both,True,compared
China,Female,20-24 years,2022,33387627.22082588,33387627.22082626,-3.7997961044311523e-07,-1.1380850993990341e-12,both,True,compared
China,Female,20-24 years,2023,32946413.46019108,32946413.46019219,-1.1101365089416504e-06,-3.3695215726076544e-12,both,True,compared
China,Female,25-29 years,1990,53595033.36545199,53595033.365452364,-3.725290298461914e-07,-6.950812537161851e-13,both,True,compared
China,Female,25-29 years,1991,57955566.76128512,57955566.76128665,-1.5348196029663086e-06,-2.648269508411715e-12,both,True,compared
China,Female,25-29 years,1992,61187479.08531326,61187479.08531378,-5.21540641784668e-07,-8.523649765951096e-13,both,True,compared
China,Female,25-29 years,1993,62771621.02135831,62771621.02135949,-1.1771917343139648e-06,-1.875356594524491e-12,both,True,compared
China,Female,25-29 years,1994,63172481.60802408,63172481.60802426,-1.7881393432617188e-07,-2.83056688251834e-13,both,True,compared
China,Female,25-29 years,1995,62800091.56900154,62800091.56900243,-8.866190910339355e-07,-1.411811780656026e-12,both,True,compared
China,Female,25-29 years,1996,61922645.6789158,61922645.67891598,-1.7881393432617188e-07,-2.887698553019945e-13,both,True,compared
China,Female,25-29 years,1997,60972040.95658138,60972040.95658154,-1.6391277313232422e-07,-2.6883268226013244e-13,both,True,compared
China,Female,25-29 years,1998,60111470.56840804,60111470.5684082,-1.564621925354004e-07,-2.6028674902794685e-13,both,True,compared
China,Female,25-29 years,1999,59083653.7303177,59083653.730317846,-1.4901161193847656e-07,-2.5220446355370534e-13,both,True,compared
China,Female,25-29 years,2000,57613619.09880542,57613619.09880631,-8.866190910339355e-07,-1.5389053923403313e-12,both,True,compared
China,Female,25-29 years,2001,55562570.695671454,55562570.69567207,-6.183981895446777e-07,-1.1129762028682619e-12,both,True,compared
China,Female,25-29 years,2002,53117323.579879045,53117323.5798792,-1.564621925354004e-07,-2.945596313792222e-13,both,True,compared
China,Female,25-29 years,2003,50661917.838994734,50661917.83899492,-1.862645149230957e-07,-3.6766179187106686e-13,both,True,compared
China,Female,25-29 years,2004,48668201.34711057,48668201.34711161,-1.043081283569336e-06,-2.1432501195799045e-12,both,True,compared
China,Female,25-29 years,2005,47336706.61193898,47336706.611939475,-4.917383193969727e-07,-1.0388097410920204e-12,both,True,compared
China,Female,25-29 years,2006,46558493.99877244,46558493.99877349,-1.0505318641662598e-06,-2.2563699422794003e-12,both,True,compared
China,Female,25-29 years,2007,46274721.104574,46274721.10457413,-1.2665987014770508e-07,-2.7371287632716913e-13,both,True,compared
China,Female,25-29 years,2008,46722952.64972331,46722952.64972378,-4.76837158203125e-07,-1.0205629806359185e-12,both,True,compared
China,Female,25-29 years,2009,48126586.27388559,48126586.27388634,-7.450580596923828e-07,-1.5481215631050598e-12,both,True,compared
China,Female,25-29 years,2010,50562088.737520695,50562088.73752168,-9.834766387939453e-07,-1.945087047134062e-12,both,True,compared
China,Female,25-29 years,2011,53963867.0656132,53963867.065613896,-6.92903995513916e-07,-1.2840147179805199e-12,both,True,compared
China,Female,25-29 years,2012,57626222.25170095,57626222.25170239,-1.4379620552062988e-06,-2.495325910703533e-12,both,True,compared
China,Female,25-29 years,2013,60706767.59796779,60706767.59796877,-9.834766387939453e-07,-1.6200444822017967e-12,both,True,compared
China,Female,25-29 years,2014,62486393.52459196,62486393.5245923,-3.427267074584961e-07,-5.48482138473256e-13,both,True,compared
China,Female,25-29 years,2015,62476429.67089198,62476429.67089265,-6.705522537231445e-07,-1.0732883701188155e-12,both,True,compared
China,Female,25-29 years,2016,60437996.97267774,60437996.972677976,-2.384185791015625e-07,-3.944845809654225e-13,both,True,compared
China,Female,25-29 years,2017,56979362.76986209,56979362.76986328,-1.1846423149108887e-06,-2.0790725928186015e-12,both,True,compared
China,Female,25-29 years,2018,52712314.37482986,52712314.37483007,-2.086162567138672e-07,-3.957637967295959e-13,both,True,compared
China,Female,25-29 years,2019,48210372.48594154,48210372.48594216,-6.258487701416016e-07,-1.2981620715004912e-12,both,True,compared
China,Female,25-29 years,2020,44085147.16580513,44085147.16580572,-5.885958671569824e-07,-1.335134177829239e-12,both,True,compared
China,Female,25-29 years,2021,40883258.12197836,40883258.12197943,-1.0728836059570312e-06,-2.6242615076225094e-12,both,True,compared
China,Female,25-29 years,2022,38411810.15398013,38411810.15398088,-7.525086402893066e-07,-1.9590553979954357e-12,both,True,compared
China,Female,25-29 years,2023,36427218.196314655,36427218.19631502,-3.650784492492676e-07,-1.002213364967305e-12,both,True,compared
China,Female,30-34 years,1990,42338691.99452968,42338691.99453054,-8.642673492431641e-07,-2.0413180202988572e-12,both,True,compared
China,Female,30-34 years,1991,41427170.00215993,41427170.002160445,-5.140900611877441e-07,-1.2409490224916171e-12,both,True,compared
China,Female,30-34 years,1992,42292965.597810976,42292965.59781158,-6.034970283508301e-07,-1.4269442206768926e-12,both,True,compared
China,Female,30-34 years,1993,45367493.24272523,45367493.24272581,-5.811452865600586e-07,-1.2809728839343497e-12,both,True,compared
China,Female,30-34 years,1994,49638863.690028206,49638863.69002869,-4.842877388000488e-07,-9.756221291127901e-13,both,True,compared
China,Female,30-34 years,1995,54156956.48150437,54156956.4815044,-2.9802322387695312e-08,-5.5029536967930187e-14,both,True,compared
China,Female,30-34 years,1996,58185270.54355341,58185270.5435536,-1.862645149230957e-07,-3.201231397277274e-13,both,True,compared
China,Female,30-34 years,1997,61121250.86068615,61121250.86068643,-2.7567148208618164e-07,-4.510239535419857e-13,both,True,compared
China,Female,30-34 years,1998,62485074.54062116,62485074.54062216,-9.98377799987793e-07,-1.5977860430313702e-12,both,True,compared
China,Female,30-34 years,1999,62768411.3591821,62768411.35918268,-5.811452865600586e-07,-9.258562929600822e-13,both,True,compared
China,Female,30-34 years,2000,62403849.50833257,62403849.50833302,-4.470348358154297e-07,-7.163577877607353e-13,both,True,compared
China,Female,30-34 years,2001,61684283.048167534,61684283.048167825,-2.905726432800293e-07,-4.710643115574988e-13,both,True,compared
China,Female,30-34 years,2002,60961206.00839295,60961206.00839385,-8.940696716308594e-07,-1.4666207087631543e-12,both,True,compared
China,Female,30-34 years,2003,60335390.16301983,60335390.163020745,-9.164214134216309e-07,-1.5188787392367188e-12,both,True,compared
China,Female,30-34 years,2004,59507782.06283043,59507782.062831156,-7.227063179016113e-07,-1.2144736248757386e-12,both,True,compared
China,Female,30-34 years,2005,58184344.31977634,58184344.31977744,-1.0952353477478027e-06,-1.882354025901675e-12,both,True,compared
China,Female,30-34 years,2006,56231549.91548672,56231549.91548692,-1.9371509552001953e-07,-3.444953870401294e-13,both,True,compared
China,Female,30-34 years,2007,53836893.43708326,53836893.43708344,-1.7881393432617188e-07,-3.321401420294498e-13,both,True,compared
China,Female,30-34 years,2008,51386285.36530628,51386285.365307026,-7.450580596923828e-07,-1.4499161680898862e-12,both,True,compared
China,Female,30-34 years,2009,49357613.94706977,49357613.94707075,-9.760260581970215e-07,-1.9774579444697115e-12,both,True,compared
China,Female,30-34 years,2010,47951620.65350256,47951620.65350313,-5.662441253662109e-07,-1.1808654590798495e-12,both,True,compared
China,Female,30-34 years,2011,47052272.57158702,47052272.571587555,-5.364418029785156e-07,-1.1400975418612433e-12,both,True,compared
China,Female,30-34 years,2012,46612727.60973903,46612727.609739974,-9.462237358093262e-07,-2.0299686037073424e-12,both,True,compared
China,Female,30-34 years,2013,46880006.620920576,46880006.62092118,-6.034970283508301e-07,-1.2873228308835493e-12,both,True,compared
China,Female,30-34 years,2014,48073688.7710492,48073688.7710496,-3.948807716369629e-07,-8.214072639975297e-13,both,True,compared
China,Female,30-34 years,2015,50257112.15690687,50257112.15690778,-9.08970832824707e-07,-1.8086411928859435e-12,both,True,compared
China,Female,30-34 years,2016,53352155.19878414,53352155.19878451,-3.650784492492676e-07,-6.842806028904104e-13,both,True,compared
China,Female,30-34 years,2017,56665929.26134058,56665929.261341386,-8.046627044677734e-07,-1.420011486543717e-12,both,True,compared
China,Female,30-34 years,2018,59394534.58820212,59394534.58820328,-1.1622905731201172e-06,-1.9568981913547812e-12,both,True,compared
China,Female,30-34 years,2019,60870948.98587,60870948.9858713,-1.296401023864746e-06,-2.129753265659913e-12,both,True,compared
China,Female,30-34 years,2020,60654564.70128921,60654564.70128958,-3.725290298461914e-07,-6.141813591125704e-13,both,True,compared
China,Female,30-34 years,2021,58534842.42888198,58534842.428882815,-8.344650268554688e-07,-1.4255868679740923e-12,both,True,compared
China,Female,30-34 years,2022,55121181.58569907,55121181.58570001,-9.462237358093262e-07,-1.7166245508329588e-12,both,True,compared
China,Female,30-34 years,2023,50991728.29390306,50991728.293903716,-6.556510925292969e-07,-1.2857989216413581e-12,both,True,compared
China,Female,35-39 years,1990,44223891.49821104,44223891.49821165,-6.109476089477539e-07,-1.3814876715959475e-12,both,True,compared
China,Female,35-39 years,1991,45779072.15871346,45779072.15871393,-4.6938657760620117e-07,-1.0253300372250106e-12,both,True,compared
China,Female,35-39 years,1992,46232752.05157811,46232752.05157889,-7.748603820800781e-07,-1.675998827012568e-12,both,True,compared
China,Female,35-39 years,1993,45125553.110161096,45125553.110161126,-2.9802322387695312e-08,-6.604311821938557e-14,both,True,compared
China,Female,35-39 years,1994,43092175.68284717,43092175.68284803,-8.568167686462402e-07,-1.988334900869941e-12,both,True,compared
China,Female,35-39 years,1995,41110939.53246413,41110939.53246452,-3.8743019104003906e-07,-9.42401695135419e-13,both,True,compared
China,Female,35-39 years,1996,40263706.30509436,40263706.30509442,-5.960464477539063e-08,-1.4803566349243202e-13,both,True,compared
China,Female,35-39 years,1997,41244398.50420824,41244398.50420829,-5.21540641784668e-08,-1.2645126628079065e-13,both,True,compared
China,Female,35-39 years,1998,44430543.51514617,44430543.515146926,-7.525086402893066e-07,-1.6936741726618308e-12,both,True,compared
China,Female,35-39 years,1999,48801431.45460813,48801431.454608925,-7.972121238708496e-07,-1.633583483329508e-12,both,True,compared
China,Female,35-39 years,2000,53405574.76601229,53405574.76601291,-6.183981895446777e-07,-1.1579281605976292e-12,both,True,compared
China,Female,35-39 years,2001,57498962.3996653,57498962.39966573,-4.246830940246582e-07,-7.385926220246545e-13,both,True,compared
China,Female,35-39 years,2002,60513128.7362955,60513128.736296676,-1.1771917343139648e-06,-1.9453493132770223e-12,both,True,compared
China,Female,35-39 years,2003,61985326.89593688,61985326.895937905,-1.0281801223754883e-06,-1.658747600220989e-12,both,True,compared
China,Female,35-39 years,2004,62392911.30263374,62392911.30263456,-8.195638656616211e-07,-1.3135528516795232e-12,both,True,compared
China,Female,35-39 years,2005,62149244.22741645,62149244.227416605,-1.564621925354004e-07,-2.517523655844858e-13,both,True,compared
China,Female,35-39 years,2006,61521519.08099456,61521519.080995336,-7.748603820800781e-07,-1.2594948786293065e-12,both,True,compared
China,Female,35-39 years,2007,60856364.57345105,60856364.57345198,-9.313225746154785e-07,-1.5303618300948813e-12,both,True,compared
China,Female,35-39 years,2008,60246557.28878892,60246557.28878911,-1.862645149230957e-07,-3.091703879945303e-13,both,True,compared
China,Female,35-39 years,2009,59387397.08466391,59387397.08466418,-2.682209014892578e-07,-4.5164616510616975e-13,both,True,compared
China,Female,35-39 years,2010,57983764.987345256,57983764.987346254,-9.98377799987793e-07,-1.7218229968434876e-12,both,True,compared
China,Female,35-39 years,2011,55906995.29995212,55906995.29995216,-3.725290298461914e-08,-6.663370618426178e-14,both,True,compared
China,Female,35-39 years,2012,53363328.05105548,53363328.05105574,-2.5331974029541016e-07,-4.74707537080607e-13,both,True,compared
China,Female,35-39 years,2013,50753278.301536985,50753278.30153732,-3.3527612686157227e-07,-6.605999416818341e-13,both,True,compared
China,Female,35-39 years,2014,48556913.54746235,48556913.547462836,-4.842877388000488e-07,-9.97361041752948e-13,both,True,compared
China,Female,35-39 years,2015,46976109.70396678,46976109.703966826,-4.470348358154297e-08,-9.516216618032994e-14,both,True,compared
China,Female,35-39 years,2016,45906857.56850865,45906857.56850867,-2.2351741790771484e-08,-4.86893309075122e-14,both,True,compared
China,Female,35-39 years,2017,45308325.53119096,45308325.531191364,-4.023313522338867e-07,-8.879854806307409e-13,both,True,compared
China,Female,35-39 years,2018,45425704.19898406,45425704.19898454,-4.842877388000488e-07,-1.066109479951397e-12,both,True,compared
